species_name,tip_labels
Alytes_obstetricans,Alytes_obstetricans
Ambystoma_tigrinum,Ambystoma_tigrinum
Amietophrynus_regularis,Bufo_regularis
Anaxyrus_americanus,Bufo_americanus
Aneides_vagrans,Aneides_vagrans
Dendrobates_auratus,Dendrobates_auratus
Desmognathus_quadramaculatus,Desmognathus_quadramaculatus
Discoglossus_pictus,Discoglossus_pictus
Duttaphrynus_melanostictus,Bufo_melanostictus
Eleutherodactylus_coqui,Eleutherodactylus_coqui
Eleutherodactylus_johnstonei,Eleutherodactylus_johnstonei
Eleutherodactylus_planirostris,Eleutherodactylus_planirostris
Glandirana_rugosa,Rana_rugosa
Hoplobatrachus_rugulosus,Hoplobatrachus_rugulosus
Hoplobatrachus_tigerinus,Hoplobatrachus_tigerinus
